id,clause_v1,clause_v2,section,text_v1,text_v2,annotator_change_type,annotator_alignment_ok,annotator_notes
103,Diagram 3.5,Diagram 3.5,Appendix E (smoke alarms should also be provided in accordance with Section 1).,"Multi-storey flat with alternative exits from each habitable room, except at entrance level See para 3.21 Fd landing Fd Fd Fd Fd NOTE: This only applies where at least one storey is more than 4.5m above ground level. Fd 9m max. entrance hall Fd Fd Fire doorset NOT ENTRANCE LEVEL Fire resisting stair enclosure (minimum REI 30) ENTRANCE LEVEL WC Alternative exit","Multi-storey flat with alternative exits from each habitable room, except at entrance level See para 3.21 a. Entrance level b. Level(s) above or below entrance level (minimum REI 30) Fd Fire doorset Fd Protected landing/ entrance hall Fd Fd Fd Fd 9m max. Fd Fd NOTE: This only applies where at least one storey is more than 4.5m above ground level. WC Flat entrance Alternative exit",,,
104,7.26,7.26,Appendix C,"A protected shaft containing a protected stairway and/or a lift should not also contain either of the following. a. A pipe that conveys oil, other than in the mechanism of a hydraulic lift. b. A ventilating duct. Two exceptions are as follows. i. A duct provided for pressurising the protected stairway to keep it smoke free. B3 ii. A duct provided only to ventilate the protected stairway. A pipe that is completely separated from a protected shaft by fire resisting construction is not considered to be contained within that shaft.","A protected shaft containing a protected stairway and/or a lift should not also contain either of the a. A pipe that conveys oil, other than in the mechanism of a hydraulic lift. b. A ventilating duct. Two exceptions are as follows. i. A duct provided for pressurising the protected stairway to keep it smoke free. ii. A duct provided only to ventilate the protected stairway. A pipe that is completely separated from a protected shaft by fire resisting construction is not considered to be contained within that shaft. B3",,,
105,3.50,3.50,"Appendix C , Table C1.","Except in buildings that comply with Diagram 3.9, the corridor or lobby next to each stair should have a smoke vent. The location of the vent should comply with both of the following. a. Be as high as practicable. b. Be positioned so the top edge is at least as high as the top of the door to the stair.","Except in buildings that comply with Diagram 3.9, the corridor or lobby next to each stair should have a smoke vent. The location of the vent should comply with both of the following. a. Be as high as practicable. b. Be positioned so the top edge is at least as high as the top of the door to the stair. 2026 amendment - effective from 30 September 2026 Smoke control in common escape routes",,,
106,,Diagram i,Requirement B2 does not include guidance on the following.,,"The relationship between regulations and guidance in the approved documents For further information about the use of technical guidance, see Chapter 7 in Volume 1 and Chapter F in Volume 2 of the Manual to the Building Regulations. Where to get further help If you are unsure whether you have the knowledge and skills to apply the guidance correctly, or if you do not understand the technical guidance or other information in this approved document or the additional detailed technical references to which it directs you, you should seek further help. Some sources of help are listed below. a. Your building control body may be able to help in many cases. b. If you are registered with a competent person scheme, the scheme operator should be in a position to help. c. Suitably qualifed and experienced construction professionals should also be engaged where necessary. iv Contents i What is an approved document? i How is construction regulated in England? i How do you comply with the Building Regulations? i What do the Building Regulations cover? ii When must a building control body be notified? ii How to use this approved document iii Where to get further help iv",,,
107,,Table B1,Requirement B5 page 102,,Internal fre spread See Escape lighting Lighting difusers Linings Insulating core panels 4.10,,,
108,10.7,10.7,Section 10 Resisting fire spread over,"Best practice guidance for green walls (also called living walls) can be found in Fire Performance of Green Roofs and Walls, published by the Department for Communities and Local Government. Cavities and cavity barriers","In buildings that include a 'residential' purpose (purpose groups 1 and 2) with a storey 11m or more in height (see Diagram D6 in Appendix D) any insulation product, fller material (such as the core materials of metal composite panels, sandwich panels and window spandrel panels but not including gaskets, sealants and similar) etc. used in the construction of an external wall should be class A2-s1, d0 or better (see Appendix B). This restriction does not apply to masonry cavity wall construction which complies with Diagram 8.2 in Section 8. Where regulation 7(2) applies, that regulation prevails over all the provisions in this paragraph.",,,
109,9.27,9.27,Section 9 Protection of openings and,"Other fire-stopping materials include the following. a. Cement mortar. b. Gypsum-based plaster. c. Cement-based or gypsum-based vermiculite/perlite mixes. d. Glass fibre, crushed rock, blast furnace slag or ceramic-based products (with or without resin binders). e. Intumescent mastics. These may be used in situations appropriate to the particular material. Not all materials will be suitable in every situation.","Other fire-stopping materials include the following. a. Cement mortar. b. Gypsum-based plaster. c. Cement-based or gypsum-based vermiculite/perlite mixes. d. Glass fibre, crushed rock, blast furnace slag or ceramic-based products (with or without resin binders). e. Intumescent mastics. These may be used in situations appropriate to the particular material. Not all materials will be suitable in every situation.",,,
110,4.16,4.16,Section 4 Wall and ceiling linings,"Diffusers constructed of thermoplastic material may be incorporated in ceilings to rooms and circulation spaces, but not to protected stairways, if both the following conditions are met. a. Except for the upper surfaces of the thermoplastic panels, wall and ceiling surfaces exposed in the space above the suspended ceiling should comply with paragraph 4.1. b. Diffusers should be classified as one of the following. i. TP(a) rigid - no restrictions on their extent. ii. TP(b) - limited in their extent (see Table 4.2 and Diagram 4.2). B2 Suspended or stretched-skin ceilings","Diffusers constructed of thermoplastic material may be incorporated in ceilings to rooms and circulation spaces, but not to protected stairways, if both the following conditions are met. a. Except for the upper surfaces of the thermoplastic panels, wall and ceiling surfaces exposed in the space above the suspended ceiling should comply with paragraph 4.1. b. Diffusers should be classified as one of the following. i. TP(a) rigid - no restrictions on their extent. ii. TP(b) - limited in their extent (see Table 4.2 and Diagram 4.2). B2 Suspended or stretched‐skin ceilings",,,
111,Diagram 8.3,Diagram 8.3,Section 8 Cavities - flats,Fire resisting ceiling below concealed space B3 See para 8.7 Arrangement A Arrangement B Acceptable without cavity barriers Cavity barriers necessary Cavity barrier Insulation The insulation should make contact with both skins of sheeting. See also Diagram 5.2a regarding the need for fire-stopping where such roofs pass over the top of a compartment wall.,Fire resisting ceiling below cavity B3 See para 8.7 Arrangement A Arrangement B Acceptable without cavity barriers Cavity barriers necessary Cavity barrier The insulation should make contact with both skins of sheeting. See also Diagram 5.2a regarding the need for fre-stopping where such roofs pass over the top of a compartment wall.,,,
112,11.12,11.12,Section 11 Resisting fire spread from one,"Where both of the following apply, separation distances may be determined from the wall rather than from the edge of the canopy (Diagram 11.6). a. The canopy is attached to the side of a building. b. The edges of the canopy are a minimum of 2m from the relevant boundary. Canopies that fall within class 6 or class 7 of Schedule 2 to the regulations (Exempt Buildings and Work) are exempt from the Building Regulations.","Where both of the following apply, separation distances may be determined from the wall rather than from the edge of the canopy (Diagram 11.6). a. The canopy is attached to the side of a building. b. The edges of the canopy are a minimum of 2m from the relevant boundary. Canopies that fall within class 6 or class 7 of Schedule 2 to the regulations (Exempt Buildings and Work) are exempt from the Building Regulations.",,,
113,,Table B1,"Section 3 , Diagram 3.11).",,Continued Minimum provisions when tested and classified to the relevant European standard (minutes)(1) or assessed following the recommendations of paragraphs B1 to B5 (minutes)(2) Type of exposure 23. Fire doorsets See Table C1 See,,,
114,3.9,3.9,Section 3 Means of escape - flats,Basement storeys containing habitable rooms should have one of the following. a. An emergency escape window or external door providing escape from the basement (see paragraph 3.6). b. A protected stairway (minimum REI 30) leading from the basement to a final exit. Balconies and flat roofs,Basement storeys containing habitable rooms should have one of the following. a. An emergency escape window or external door providing escape from the basement (see paragraph 3.6). b. A protected stairway (minimum REI 30) leading from the basement to a final exit. Balconies and flat roofs,,,
115,Table 9.1,Table 9.1,Appendix G Documents referred to,"Dressing rooms Excluded from elements of structure 5.3, 6.2 D Inner rooms 2.11, 3.7 Ducts Fire resistance 9.3, Table B3 Mechanical ventilation and air-conditioning Dead ends 3.27 Fire service vehicle access routes 13.4, Diagram 13.1 Deck access 9.6-9.9 Openings 9.12-9.17, Diagrams 9.3 to 9.4 In cavity barriers 5.24 In compartment walls or floors 7.20 Protected stairways 3.23 Protection 9.24-9.29 Escape routes 3.29 Direct distances Protected shafts 7.26 Protected stairways 2.9 See also Ventilation ducts Dwellinghouses Energy efficiency requirements page iv Entrance halls See Protected entrance halls/landings Escape lighting Internal fire spread Common escape routes 3.41-3.44 Escape routes Cavities 5.16-5.24 Compartmentation 5.5-5.15 Loadbearing elements of structure 5.1-5.4 Means of escape 2.1-2.23 Dwellinghouses with floor more than 4.5m above ground level 2.5-2.6 Flats More than 4.5m above ground level 2.4-2.9 Provision 2.10-2.17 Upper storeys a maximum of 4.5m above ground With balcony or deck access 3.29 Common escape routes 3.31-3.37 Number of escape routes 3.26-3.27 Small single stair buildings 3.28, Diagram 3.9 Helical stairs and spiral stairs on 3.86 Single steps on 3.84 Un…","Dressing rooms Means of escape 2.10, Diagram 2.5 Cover moulds Defnition of walls and ceilings 4.3, 4.6 Curtain walls Inner rooms 2.11, 3.7 Ducts Excluded from elements of structure 5.3, 6.2 D Fire resistance 9.3, Table B1 Mechanical ventilation and air-conditioning 9.6-9.9 Openings 9.12-9.17, Diagrams 9.3 to 9.4 In cavity barriers 5.24 In compartment walls or foors 7.20 Protected stairways 3.23 Protection 9.24-9.29 Protected shafts 7.26 Protected stairways 2.9 See also Ventilation ducts Dwellinghouses Dead ends 3.27 Fire service vehicle access routes 13.4, Diagram 13.1 Deck access Escape routes 3.29 Direct distances Disabled people 0.8, 3.107, 17.5 Domestic garages Construction to protect dwellinghouses 5.6-5.7,
Diagram 5.1 Fire doors between dwellinghouse and garage 5.7,",,,
116,12.8,12.8,Section 12 Resisting fire spread over roof,"When used in rooflights, unwired glass a minimum of 4mm thick can be regarded as having a BROOF(t4) classification. Thatch and wood shingles","When used in rooflights, unwired glass a minimum of 4mm thick can be regarded as having a BROOF(t4) classification. Thatch and wood shingles",,,
117,5.14,5.14,Section 5 Internal fire spread - dwellinghouses,"Double-skinned insulated roof sheeting should incorporate a band of material rated class A2-s3, d2 or better, a minimum of 300mm in width, centred over the wall.","Double-skinned insulated roof sheeting should incorporate a band of material rated class A2-s3, d2 or better, a minimum of 300mm in width, centred over the wall.",,,
118,,7.2,"Appendix B Performance of materials,",,b. any other part between the shaft and a protected lobby/corridor described in,,,
119,3.34,3.34,"Appendix C , Table C1.","Common corridors should be protected corridors. The wall between each flat and the corridor should be a compartment wall (minimum REI 30 where the top storey is up to 5m above ground level, otherwise REI 60).","Common corridors should be protected corridors. The wall between each flat and the corridor should be a compartment wall (minimum REI 30 where the top storey is up to 5m above ground level, otherwise REI 60).",,,
120,Appendix C,Appendix C,Appendix C,"ii. The passage of pipes which meet the provisions in Section 9. iii. Inlets to, outlets from and openings for a ventilation duct (if the shaft contains or serves as a ventilating duct), meeting the provisions in Section 9. iv. The passage of lift cables into a lift machine room (if the shaft contains a lift). If the machine room is at the bottom of the shaft, the openings should be as small as practicable. B3","ii. The passage of pipes which meet the provisions in Section 9. Inlets to, outlets from and openings for a ventilation duct (if the shaft contains or serves as a ventilating duct), meeting the provisions in Section 9. iv. The passage of lift cables into a lift machine room (if the shaft contains a lift). If the machine room is at the bottom of the shaft, the openings should be as small as practicable. B3",,,
121,3.39,3.39,"Appendix C , Table C1.",Escape route floor finishes should minimise their slipperiness when wet. Finishes include the treads of steps and surfaces of ramps and landings. Ramps and sloping floors,Divide a common corridor connecting two or more storey exits with a fire doorset fitted with a self-closing device (minimum E 30 S ). See Diagram 3.8. Associated screens should be fire resisting. a Doors should be positioned such that smoke does not affect access to more than one stair.,,,
122,2.1,2.1,Section 2 Means of escape - dwellinghouses,"See Diagram 2.1a. All habitable rooms (excluding kitchens) should have either of the following. a. An opening directly onto a hall leading to a final exit. b. An emergency escape window or door, as described in paragraph 2.10. Escape from upper storeys a maximum of 4.5m above ground level","See Diagram 2.1a. All habitable rooms (excluding kitchens) should have either of the following. a. An opening directly onto a hall leading to a final exit. b. An emergency escape window or door, as described in paragraph 2.10. Escape from upper storeys a maximum of 4.5m above ground level",,,
123,Diagram 2.1,Diagram 2.1,Section 2 Means of escape - dwellinghouses,Means of escape from dwellinghouses B1 B1 See para 2.5 a. b. Final exit stairway construction minimum REI 30 Fd Fd Fd Fd Final exit stairway Fd Fd Fire doorset minimum E 20 Fd Final exit,Means of escape from dwellinghouses B1 See para 2.5 a. b. Final exit Protected stairway Fire resisting construction minimum REI 30 Fd Fd Fd Fd Fd Fd Final exit Protected stairway Fd Fire doorset minimum E 20 Final exit,,,
124,,3.30,"Appendix C , Table C1.",,"Where a storey or part of a building has multiple escape routes available, one may be over a flat roof that complies with all of the following. a. It should be part of the same building from which escape is being made. b. The route across the roof should lead to a storey exit or external escape route. c. The part of the roof (including its supporting structure) forming the escape route, and any opening within 3m of the escape route, should be of fire resisting construction (minimum REI 30). d. The route should be clearly defined and guarded by walls and/or protective barriers to protect against falling. B1 Common escape routes",,,
125,,5.2,Requirement B1 page 8,,"Rooftop plant External walls 1000mm or more from relevant boundary 11.9 External walls within 1000mm of relevant boundary 11.8 Separation distances for roofs 12.3-12.9, Tables 12.1 to 12.3 Small residential buildings Diagram 11.7 Relevant metal composite materials 10.11-10.12 Residential (institutional) purpose group 1.13, Height of top storey in building Diagram D6 Separation distances 11.14, 12.3-12.9, Table 12.1 See also Flat roofs; Pitched roofs Roof space Cavity barriers Diagram 2.3 See also Loft conversions Rooftop plant Height of top storey in building Diagram D6 Rooms S",,,
126,,15.15,Section 15 Access to buildings for firefighting,,"The wording used on each floor identification sign should take the form Floor X, with X designating the number of the storey, as intended for reference by residents. The floor number designations should meet all of the following conditions. a. The floor closest to the mean ground level (see Diagram D4) should be designated as either Floor 0 or Ground Floor. b. Each floor above the ground floor should be numbered sequentially beginning with Floor 1. c. A lower ground floor should be designated as either Floor -1 or Lower Ground Floor. d. Each floor below the ground floor should be numbered sequentially beginning with Floor -1 or Basement 1.",,,
127,0.1,0.1,Section 0 Approved Document B:,"This approved document has been published in two volumes. Volume 1 deals solely with dwellings, including blocks of flats, while Volume 2 deals with all other types of building covered by the Building Regulations. Arrangement of sections","This approved document has been published in two volumes. Volume 1 deals solely with dwellings, including blocks of flats, while Volume 2 deals with all other types of building covered by the Building Regulations. Arrangement of sections",,,
128,Table B2,Table B2,Section 7 diagram 7.2,"Roof covering classifications: transposition to national class BS EN 13501-5 classification Transposition to BS 476-3 classification BROOF (t4) AA, AB or AC CROOF(t4) BA, BB or BC DROOF(t4) CA, CB or CC EROOF(t4) AD, BD or CD FROOF(t4) DA, DB, DC or DD NOTE: The national classifications do not automatically equate with the transposed classifications in the European column, therefore products cannot typically assume a European class unless they have been tested accordingly. Fire resistance B19 Common to all of the provisions of Part B of the Building Regulations is the property of fire resistance. Fire resistance is a measure of one or more of the following. a. Resistance to collapse (loadbearing capacity), which applies to loadbearing elements only, denoted R in the European classification of the resistance to fire performance. b. Resistance to fire penetration (integrity), denoted E in the European classification of the resistance to fire performance. c. Resistance to the transfer of excessive heat (insulation), denoted I in the European classification of the resistance to fire performance. B20 The standards of fire resistance necessary for a particular building are based on assu…",for the compartment wall/floor Half the period given in Table B2 for the compartment wall/floor Half the period given in Table B2 for the compartment wall/floor From outside 22. Construction described in note (a) to paragraph 12.9. EI 30 30 min 30 min From underside 23. Fire doorsets See Table C1 See Table C1 See,,,
129,Diagram 2.2,Diagram 2.2,Section 2 Means of escape - dwellinghouses,Alternative arrangements for final exits See para 2.5 Unoccupied space a. b. Cavity barrier E 30 and EI 15 Unoccupied space ceiling EI 30 enclosure to protected stairway enclosure to protected stairway 4.5m stairway 4.5m stairway,Alternative arrangements for final exits See para 2.5 Cavity barrier b. a. Unoccupied space Unoccupied space E 30 and EI 15 Fire resisting ceiling EI 30 Fire resisting enclosure to protected stairway Fire resisting enclosure to protected stairway 4.5m 4.5m Protected Protected stairway stairway,,,
130,Appendix C,Appendix C,Appendix C,"1. BS EN 13501-2 Classification using data from fire resistance tests, excluding ventilation services. BS EN 13501-3 Classification using data from fire resistance tests on products and elements used in building service installations: fire resisting ducts and fire dampers. BS EN 13501-4 Classification using data from fire resistance tests on components of smoke control systems. In the European classification: 'R' is the resistance to fire in terms of loadbearing capacity. 'E' is the resistance to fire in terms of integrity. 'I' is the resistance to fire in terms of insulation. The national classifications do not automatically equate with the alternative classifications in the European column, therefore products cannot typically assume a European class unless they have been tested accordingly. 2. BS 476-20 for general principles, BS 476-21 for loadbearing elements, BS 476-22 for non-loadbearing elements, BS 476-23 for fire-protecting suspended ceilings and BS 476-24 for ventilation ducts. 3. Applies to loadbearing elements only (see paragraph B19). 4. Guidance on increasing the fire resistance of existing timber floors is given in BRE Digest 208. 5. Only if a suspended ceiling meet…","1. Classified in accordance with BS EN 13501-2, BS EN 13501-3 or BS EN 13501-4. In the European classification 'R' is the resistance to fire in terms of loadbearing capacity, 'E' is the resistance to fire in terms of integrity, 'I' is the resistance to fire in terms of insulation. Products or systems cannot typically assume a European class unless they have been tested and classified accordingly. 2. When assessed as being capable of meeting a performance classification, products or systems should follow the relevant test standards to indicate their fire resistance performance in terms of loadbearing capacity, integrity or insulation for a period of minutes, when following the recommendations of paragraphs B1 to B5. 3. Applies to loadbearing elements only (see paragraph B18). 4. Guidance on increasing the fire resistance of existing timber floors is given in BRE Digest 208. 5. Only if a suspended ceiling meets the appropriate provisions should it be relied on to add to the fire resistance of the floor. 6. Such walls may contain areas that do not need to be fire resisting (unprotected areas). See Section 11. 7. Unless needed as part of a wall in item 5a or 5b. 8. Except for any limi…",,,
131,Requirement B4,Requirement B4,Requirement B4 : Restrict both:,Restrict both: a. the potential for fire to spread over external walls and roofs (including compliance with regulations 6(4) and 7(2)) b. the spread of fire from one building to another.,Restrict both: a. the potential for fire to spread over external walls and roofs (including compliance with regulations 6(4) and 7(2)) b. the spread of fire from one building to another.,,,
132,,11.10,Requirement B1 page 8,,"External wall within 1000mm of relevant boundary Forming part of a ceiling 4.15-4.16, Diagram 4.1 Layout restrictions Diagrams 4.2 to 4.3 Suspended ceilings 4.17, Appendix B11, Table 4.2 Roofights 4.14, 5.12 Layout restrictions Diagrams 4.2 to 4.3 Limitations on spacing and size Diagram 12.1 Limitations on use 12.6, Table 4.2, Table 12.3 Suspended or stretched-skin ceiling 4.17 Windows 4.13 Tiles and slates",,,
133,2.16,2.16,Section 9,Basement storeys containing habitable rooms should have one of the following. a. An emergency escape window or external door providing escape from the basement (paragraph 2.10). b. A protected stairway (paragraph 2.5a) leading from the basement to a final exit. B1 External escape stairs,Basement storeys containing habitable rooms should have one of the following. a. An emergency escape window or external door providing escape from the basement (paragraph 2.10). b. A protected stairway (paragraph 2.5a) leading from the basement to a final exit. B1 External escape stairs,,,
134,6.7,6.7,Section 6 Loadbearing elements of,"In a converted building with four or more storeys, the full standard of fire resistance given in","In a converted building with four or more storeys, the full standard of fire resistance given in",,,
135,17.5,17.5,Section 17 Fire safety information,A detailed record should be provided of both of the following. a. The fire safety strategy. b. Procedures for operating and maintaining any fire protection measures. This should include an outline cause and effect matrix/strategy for the building. Further guidance is available in clause 9 and Annex H of BS 9999.,"Details should be provided of all of the following. a. Specifications of fire safety equipment provided, including routine maintenance schedules. b. Any assumptions regarding the management of the building in the design of the fire safety arrangements. c. Any provision enabling the evacuation of disabled people, which can be used when designing personal emergency evacuation plans. Additional information for complex buildings",,,
136,3.61,3.61,"Appendix C , Table C1.","Section 7 provides guidance on avoiding the spread of fire between storeys. For a stair that is also a firefighting stair, guidance in Section 15 should be followed. Enclosure of common stairs","Section 7 provides guidance on avoiding the spread of fire between storeys. For a stair that is also a firefighting stair, guidance in Section 15 should be followed. B1 Enclosure of common stairs",,,
137,7.24,7.24,Appendix C,"An uninsulated glazed screen may be incorporated in the enclosure to a protected shaft between a stair and a lobby or corridor entered from the stair. The enclosure must conform to Diagram 7.2 and meet all of the following conditions. a. The standard of fire resistance required for the protected stairway is not more than REI 60. b. The glazed screen complies with the following. i. It achieves a minimum rating of E 30. ii. It complies with the guidance on limits on areas of uninsulated glazing in Appendix B, Table B5. c. The lobby or corridor is enclosed with fire resisting construction achieving a minimum rating of REI 30.","An uninsulated glazed screen may be incorporated in the enclosure to a protected shaft between a stair and a lobby or corridor entered from the stair. The enclosure must conform to Diagram 7.2 and meet all of the following conditions. a. The standard of fire resistance required for the protected stairway is not more than REI 60. b. The glazed screen complies with the following. i. It achieves a minimum rating of E 30. ii. It complies with the guidance on limits on areas of uninsulated glazing in Appendix B, Table B3. c. The lobby or corridor is enclosed with fire resisting construction achieving a minimum rating of REI 30.",,,
138,0.6,0.6,Appendix G Documents referred to,"The Building Regulations do not impose any requirements on the management of a building, but do assume that it will be properly managed. This includes, for example, keeping protected escape routes virtually 'fire sterile'. Appropriate fire safety design considers the way in which a building will be managed. Any reliance on an unrealistic or unsustainable management regime cannot be considered to have met the requirements of the regulations. Once the building is in use, the management regime should be maintained and a suitable risk assessment undertaken for any variation in that regime. Failure to take proper management responsibility may result in the prosecution of an employer, building owner or occupier under legislation such as the Regulatory Reform (Fire Safety) Order 2005. Property protection","The Building Regulations do not impose any requirements on the management of a building, but do assume that it will be properly managed. This includes, for example, keeping protected escape routes virtually 'fire sterile'. Appropriate fire safety design considers the way in which a building will be managed. Any reliance on an unrealistic or unsustainable management regime cannot be considered to have met the requirements of the regulations. Once the building is in use, the management regime should be maintained and a suitable risk assessment undertaken for any variation in that regime. Failure to take proper management responsibility may result in the prosecution of an employer, building owner or occupier under legislation such as the Regulatory Reform (Fire Safety) Order 2005. Property protection",,,
139,,3.103,"Appendix C , Table C1.",,"If a lift delivers into a protected corridor or protected lobby serving sleeping accommodation and also serves a storey containing a high fire risk (such as a kitchen, communal areas, stores, etc.) then the lift should be separated from the high fire risk area(s) by a protected lobby or protected corridor (minimum REI 30).",,,
140,4.15,4.15,Section 4 Wall and ceiling linings,"The following paragraphs apply to lighting diffusers forming part of a ceiling. Diffusers may be part of a luminaire or used below sources of light. The following paragraphs do not apply to diffusers of light fittings attached to the soffit of a ceiling or suspended beneath a ceiling (Diagram 4.1). See para 4.15 a. DIFFUSER FORMING PART OF CEILING b. DIFFUSER IN FITTING BELOW AND NOT FORMING PART OF CEILING Ceiling Ceiling
Diagram 4.1 Lighting diffuser in relation to ceiling","The following paragraphs apply to lighting diffusers forming part of a ceiling. Diffusers may be part of a luminaire or used below sources of light. The following paragraphs do not apply to diffusers of light fittings attached to the soffit of a ceiling or suspended beneath a ceiling (Diagram 4.1). See para 4.15 a. Diffuser forming part of ceiling b. Diffusers of light fittings attached to the soffit of a ceiling or suspended beneath a ceiling Ceiling Ceiling
Diagram 4.1 Lighting diffuser in relation to ceiling",,,
141,13.3,13.3,Section 13 Vehicle access,Access routes and hardstandings should comply with the guidance in Table 13.1.,Access routes and hardstandings should comply with the guidance in Table 13.1.,,,
142,Table B3,,Requirement B5 page 96,Internal fire spread See Smoke outlets Heat radiation Linings Discounting 11.1 Height Insulating core panels 4.10,,,,
143,Table B3,Table B3,Appendix C,". NOTE: If one element of structure supports or stabilises another, as a minimum the supporting element should have the same fire resistance as the other element.","Limitations on the use of uninsulated glazed elements on escape routes. These limitations do not apply to glazed elements that satisfy the relevant insulation criterion, see Table B1 Position of glazed element Maximum total glazed area in parts of a building with access to: A single stair More than one stair Flats 1. Within the enclosures of a protected entrance hall or protected landing, or within fire resisting separation shown in",,,
144,16.13,16.13,Section 16 Venting of heat and smoke from,"Outlet ducts or shafts, including any bulkheads over them (see Diagram 16.1), should be enclosed in construction of class A1 rating and fire resistance at least equal to that of the element through which they pass.","Outlet ducts or shafts, including any bulkheads over them (see Diagram 16.1), should be enclosed in construction of class A1 rating and fire resistance at least equal to that of the element through which they pass.",,,
145,,B3,"Appendix B Performance of materials,",,Assessments should not be regarded as a way to avoid a test where one is necessary. Assessments should only be carried out where sufficient relevant test evidence is available. Relevant test evidence is unlikely to be provided by test standards which have different classification criteria.,,,
146,1.8,1.8,Section 1 Fire detection and alarm systems,"Where new habitable rooms are provided, a fire detection and alarm system should be installed where either of the following applies. a. The room is provided above or below the ground storey. b. The room is provided at the ground storey, without a final exit.","A fire detection and alarm system should be installed where either of the following applies. a. A new habitable room is provided above or below the ground storey. b. A new habitable room is provided at the ground storey, without a final exit.",,,
147,5.8,5.8,Section 5 Internal fire spread - dwellinghouses,"All compartment walls and compartment floors should achieve both of the following. a. Form a complete barrier to fire between the compartments they separate. b. Have the appropriate fire resistance, as given in Appendix B, Table B3 and Table B4.","All compartment walls and compartment floors should achieve both of the following. a. Form a complete barrier to fire between the compartments they separate. b. Have the appropriate fire resistance, as given in Appendix B, Table B1 and Table B2.",,,
148,Table B1,Table B1,"Appendix B Performance of materials,","Minimum periods of fire resistance by purpose Fire separation group Table B4 Reaction to fire Appendix B6 to B10 Roofs Appendix B15 to B18, Table B2 See also Fire resistance Fireplace surrounds Between buildings External walls 11.1-11.10 Garages and houses 5.6-5.7, Diagram 5.1 Roofs 12.3-12.9 Dwellinghouses with floor more than 4.5m above Definition of walls 4.3 Fire resistance Appendix B19 to B25 ground level 2.6, Diagram 2.4 Loft conversions 2.23 See also Cavity barriers; Compartmentation; Elements of structure 5.1-5.4, Appendix B22, Separation distances Fire service facilities Appendix B26 Flats 6.1-6.4 Tests by element Table B3 Minimum periods by building type Table B4 Fire resisting construction Access to flats for firefighting personnel 15.1-15.12 Fire mains 13.5-13.6, 14.1-14.7, 15.10","Continued provisions when tested to the relevant European standard (minutes)(1) Alternative minimum provisions when tested to the relevant part of BS 476(2) (minutes) Type of exposure 5. External walls a. any part a maximum of 1000mm from any point on the relevant boundary(6) REI see Table B2 b. any part a minimum of 1000mm from the relevant boundary(6) RE see Table B2 and I 15 15 min From inside the building c. any part beside an external escape route (Section 2, Diagram 2.7 and Section 3,",,,
149,Diagram 3.10,Diagram 3.10,"Appendix C , Table C1.",External protection to protected stairways External escape stairs,External protection to protected stairways External escape stairs,,,
